date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:11	55220/55220	---M--	200	added ('OK')	text/plain	etag:%22d7b4-561c50a3528bc%22	http://www.innovationplans.com/idesign/sam-martin/fonts/et-line.woff	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/et-line.woff	(from http://www.innovationplans.com/idesign/sam-martin/css/et-line.css)
10:18:12	32536/32536	---M--	200	added ('OK')	text/plain	etag:%227f18-561c509cf56ad%22	http://www.innovationplans.com/idesign/sam-martin/fonts/et-line.ttf	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/et-line.ttf	(from http://www.innovationplans.com/idesign/sam-martin/css/et-line.css)
10:18:18	175537/175537	---M--	200	added ('OK')	image/svg+xml	etag:%222adb1-561c50a321f7f%22	http://www.innovationplans.com/idesign/sam-martin/fonts/et-line.svg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/et-line.svg	(from http://www.innovationplans.com/idesign/sam-martin/css/et-line.css)
10:18:20	32694/32694	---M--	200	added ('OK')	text/plain	etag:%227fb6-561c50989c223%22	http://www.innovationplans.com/idesign/sam-martin/fonts/et-line.eot?	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/et-lined41d.eot	(from http://www.innovationplans.com/idesign/sam-martin/css/et-line.css)
10:18:20	165548/165548	---M--	200	added ('OK')	text/plain	etag:%22286ac-561c50bde6731%22	http://www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont3e6e.ttf	(from http://www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css)
10:18:23	16744/16744	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2004:48:22%20GMT	http://www.innovationplans.com/idesign/sam-martin/fonts/ionicons.woff?v=2.0.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/ionicons28b5.woff	(from http://www.innovationplans.com/idesign/sam-martin/css/ionicons.min.css)
10:18:24	16744/16744	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2004:48:24%20GMT	http://www.innovationplans.com/idesign/sam-martin/fonts/ionicons.svg?v=2.0.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/ionicons28b5.svg	(from http://www.innovationplans.com/idesign/sam-martin/css/ionicons.min.css)
10:18:25	7978/7978	---M-Z	200	added ('OK')	text/css	etag:%221f2a-561c509014134%22	http://www.innovationplans.com/idesign/sam-martin/css/main.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/main.css	(from http://www.innovationplans.com/idesign/sam-martin/css/style.css)
10:18:31	120724/120724	---M--	200	added ('OK')	text/plain	etag:%221d794-561c50ff88507%22	http://www.innovationplans.com/idesign/sam-martin/fonts/ionicons.eot?v=2.0.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/ionicons28b5.eot	(from http://www.innovationplans.com/idesign/sam-martin/css/ionicons.min.css)
10:18:45	188508/188508	---M--	200	added ('OK')	text/plain	etag:%222e05c-561c510f26924%22	http://www.innovationplans.com/idesign/sam-martin/fonts/ionicons.ttf?v=2.0.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/ionicons28b5.ttf	(from http://www.innovationplans.com/idesign/sam-martin/css/ionicons.min.css)
10:18:47	144662/144662	---M--	200	added ('OK')	image/jpeg	etag:%2223516-561c51a0880ad%22	http://www.innovationplans.com/idesign/sam-martin/img/bg.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/bg.jpg	(from http://www.innovationplans.com/idesign/sam-martin/css/style.css)
10:18:49	121118/121118	---M--	200	added ('OK')	image/jpeg	etag:%221d91e-561c520d98b6a%22	http://www.innovationplans.com/idesign/sam-martin/img/blog/blog-bg.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/blog/blog-bg.jpg	(from http://www.innovationplans.com/idesign/sam-martin/css/style.css)
10:19:15	272491/272491	---M--	200	added ('OK')	image/jpeg	etag:%224286b-561c513d3ffc5%22	http://www.innovationplans.com/idesign/sam-martin/img/1.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/1.jpg	(from http://www.innovationplans.com/idesign/sam-martin/css/style.css)
10:19:21	208278/208278	---M--	200	added ('OK')	image/jpeg	etag:%2232d96-561c516bf3368%22	http://www.innovationplans.com/idesign/sam-martin/img/3.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/3.jpg	(from http://www.innovationplans.com/idesign/sam-martin/css/style.css)
10:19:22	201953/201953	---M--	200	added ('OK')	image/jpeg	etag:%22314e1-561c518444bf8%22	http://www.innovationplans.com/idesign/sam-martin/img/4.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/4.jpg	(from http://www.innovationplans.com/idesign/sam-martin/css/style.css)
10:19:23	15511/15511	---M-Z	200	added ('OK')	text/html	etag:%223c97-561c507562243%22	http://www.innovationplans.com/idesign/sam-martin/blog-single.html	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/blog-single.html	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:19:28	16744/16744	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2004:49:28%20GMT	http://www.innovationplans.com/idesign/sam-martin/Popover%20requires%20tooltip.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/Popover%20requires%20tooltip.js	(from http://www.innovationplans.com/idesign/sam-martin/js/bootstrap.min.js)
10:19:30	4190/4190	---M--	200	added ('OK')	image/png	etag:%22105e-561c51a4d59a8%22	http://www.innovationplans.com/idesign/sam-martin/img/logo-dark.png	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/logo-dark.png	(from http://www.innovationplans.com/idesign/sam-martin/js/custom.js)
10:19:30	76/76	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:49:30%20GMT	http://www.innovationplans.com/idesign/sam-martin/contact.php	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/contact.html	(from http://www.innovationplans.com/idesign/sam-martin/js/custom.js)
10:19:31	296858/296858	---M--	200	added ('OK')	image/jpeg	etag:%224879a-561c527bebe54%22	http://www.innovationplans.com/idesign/sam-martin/img/2.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/2.jpg	(from http://www.innovationplans.com/idesign/sam-martin/css/style.css)
10:19:32	87967/87967	---M--	200	added ('OK')	image/jpeg	etag:%221579f-561c5217eac85%22	http://www.innovationplans.com/idesign/sam-martin/img/blog/hero.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/blog/hero.jpg	(from http://www.innovationplans.com/idesign/sam-martin/blog.html)
10:19:38	258343/258343	---M--	200	added ('OK')	image/jpeg	etag:%223f127-561c5203f8235%22	http://www.innovationplans.com/idesign/sam-martin/img/blog/4.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/blog/4.jpg	(from http://www.innovationplans.com/idesign/sam-martin/blog.html)
10:19:38	9396/9396	---M--	200	added ('OK')	image/png	etag:%2224b4-561c51dba921c%22	http://www.innovationplans.com/idesign/sam-martin/img/blog/00.png	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/blog/00.png	(from http://www.innovationplans.com/idesign/sam-martin/blog-single.html)
